artist_id,mbtag
ar002ua1187b9a637d,uk
ar002ua1187b9a637d,rock
ar002ua1187b9a637d,garage rock
ar006821187fb5192b,bass
ar00a6h1187fb5402a,detroit
ar00a6h1187fb5402a,punk
ar00a6h1187fb5402a,michigan
ar00a6h1187fb5402a,usa
ar00b1i1187fb433eb,european
ar00b1i1187fb433eb,swedish
ar00b1i1187fb433eb,classic pop and rock
ar00fvc1187fb5be3e,german
ar00fvc1187fb5be3e,berlin
ar00gvv11c8a415a54,uk
ar00gvv11c8a415a54,mc
ar00gvv11c8a415a54,rapper
ar00gvv11c8a415a54,grime
ar00ikc1187fb37bd5,uk
ar00ikc1187fb37bd5,scotland
ar00ikc1187fb37bd5,edinburgh
ar00ikc1187fb37bd5,punk
ar00ikc1187fb37bd5,anarcho
ar00im31187b99b83a,producteur
ar00im31187b99b83a,producer
ar00im31187b99b83a,batteur
ar00im31187b99b83a,drummer
ar00m9h1187b9b59ca,virgin islands reggae
ar00p3m1187fb5428c,british
ar00rae1187fb41114,production music
ar00tgq1187b994f29,world
ar00y9i1187b999412,progressive black-death metal
ar00y9i1187b999412,blackened death metal
ar00y9i1187b999412,progressive death metal
ar00y9i1187b999412,british
ar00y9i1187b999412,metal
ar015ly1187b98ccaf,world
ar016p51187b98e398,desi
ar01c201187b9b7f3d,production music
ar01hkt1187b996f26,4ad
ar01hkt1187b996f26,singer-songwriter
ar01hkt1187b996f26,folk rock
ar01hkt1187b996f26,lo-fi
ar01hkt1187b996f26,rock
ar01hkt1187b996f26,american
ar01hkt1187b996f26,rock and indie
ar01vu31187b997da0,hard rock
ar01vu31187b997da0,rock
ar01vu31187b997da0,american
ar01w2d1187fb5912f,united states
ar022jo1187b99587b,production music
ar026bb1187b994dc3,jamaican
ar026pu1187fb43fd9,uk
ar026pu1187fb43fd9,punk
ar026pu1187fb43fd9,british
ar026pu1187fb43fd9,english
ar026pu1187fb43fd9,rock and indie
ar028ww1187fb3c9b4,star search
ar02g8x1187fb394d9,rock and indie
ar02iu11187fb513f2,jazz
ar02iu11187fb513f2,latin
ar02jg91187fb39b7f,classic pop and rock
ar02jg91187fb39b7f,england
ar02jg91187fb39b7f,uk
ar02jg91187fb39b7f,punk
ar02lle1187b98cde3,german
ar02lle1187b98cde3,city
ar02t6t1187fb3d8e5,classic pop and rock
ar035n21187fb3938e,trance
ar035n21187fb3938e,electronic
ar035n21187fb3938e,progressive house
ar035n21187fb3938e,composer
ar035n21187fb3938e,film composer
ar03ac11187fb39256,us
ar03ac11187fb39256,hiphop
ar03bdp1187fb5b324,pop
ar03bdp1187fb5b324,american
ar03bdp1187fb5b324,urban pop
ar03bdp1187fb5b324,dance
ar03bdp1187fb5b324,pop and chart
ar03bdp1187fb5b324,américain
ar03bdp1187fb5b324,electropop
ar03bdp1187fb5b324,usa
ar03bdp1187fb5b324,dance-pop
ar03k5w1187b99099a,death metal
ar03nav1187b9920ef,alternative rock
ar03nav1187b9920ef,rock
ar03nav1187b9920ef,american
ar03nav1187b9920ef,pop
ar03vdd1187fb3dd32,world
